            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459975.833333333, A.D. 2023-Jan-31 08:00:00.0000, -6.567814488416189E-01,  7.552956767064197E-01, -1.973777084237154E-03, -1.336637242490369E-02, -1.136901094279892E-02,  6.682817021700959E-05,  5.780821653271690E-03,  1.000918241711022E+00,  1.915128744404446E-04,
2459975.875000000, A.D. 2023-Jan-31 09:00:00.0000, -6.573382101462293E-01,  7.548217650616195E-01, -1.970990745884226E-03, -1.335816902766341E-02, -1.137874701374350E-02,  6.691605863988549E-05,  5.780867750634804E-03,  1.000926223222025E+00,  1.915996593853714E-04,
2459975.916666667, A.D. 2023-Jan-31 10:00:00.0000, -6.578946294965721E-01,  7.543474478713991E-01, -1.968200747347220E-03, -1.334995862157042E-02, -1.138847712237341E-02,  6.700385908190275E-05,  5.780913868886260E-03,  1.000934208349733E+00,  1.916864765759813E-04,
2459975.958333333, A.D. 2023-Jan-31 11:00:00.0000, -6.584507066007353E-01,  7.538727253842846E-01, -1.965407092290667E-03, -1.334174121150100E-02, -1.139820126376455E-02,  6.709157147526468E-05,  5.780960008033906E-03,  1.000942197095504E+00,  1.917733262827814E-04,
2459976.000000000, A.D. 2023-Jan-31 12:00:00.0000, -6.590064411669916E-01,  7.533975978490094E-01, -1.962609784383980E-03, -1.333351680223728E-02, -1.140791943308464E-02,  6.717919574840075E-05,  5.781006168085594E-03,  1.000950189460698E+00,  1.918602086466054E-04,
2459976.041666667, A.D. 2023-Jan-31 13:00:00.0000, -6.595618329037982E-01,  7.529220655145148E-01, -1.959808827302400E-03, -1.332528539806152E-02, -1.141763162534466E-02,  6.726673172913956E-05,  5.781052349049185E-03,  1.000958185446675E+00,  1.919471235983395E-04,
2459976.083333333, A.D. 2023-Jan-31 14:00:00.0000, -6.601168815181629E-01,  7.524461286295854E-01, -1.957004224905941E-03, -1.331704691610527E-02, -1.142733785690546E-02,  6.735417047890051E-05,  5.781098550924737E-03,  1.000966185053447E+00,  1.920339975452832E-04,
2459976.125000000, A.D. 2023-Jan-31 15:00:00.0000, -6.606715867164311E-01,  7.519697874428907E-01, -1.954195981083053E-03, -1.330880143599254E-02, -1.143703810537344E-02,  6.744152034135295E-05,  5.781144773707675E-03,  1.000974188280220E+00,  1.921208930667772E-04,
2459976.166666667, A.D. 2023-Jan-31 16:00:00.0000, -6.612259482075963E-01,  7.514930422039904E-01, -1.951384099524418E-03, -1.330054897592264E-02, -1.144673236188634E-02,  6.752878176761968E-05,  5.781191017405762E-03,  1.000982195128338E+00,  1.922078221796135E-04,
2459976.208333333, A.D. 2023-Jan-31 17:00:00.0000, -6.617799657008795E-01,  7.510158931626731E-01, -1.948568583925097E-03, -1.329228953902347E-02, -1.145642062082202E-02,  6.761595443987058E-05,  5.781237282027015E-03,  1.000990205599191E+00,  1.922947845302609E-04,
2459976.250000000, A.D. 2023-Jan-31 18:00:00.0000, -6.623336389056752E-01,  7.505383405689265E-01, -1.945749437912966E-03, -1.328402312903272E-02, -1.146610287820496E-02,  6.770304534159346E-05,  5.781283567579384E-03,  1.000998219694154E+00,  1.923817789159271E-04,
2459976.291666667, A.D. 2023-Jan-31 19:00:00.0000, -6.628869675315010E-01,  7.500603846728970E-01, -1.942926664730769E-03, -1.327574974954545E-02, -1.147577912899480E-02,  6.779005484341957E-05,  5.781329874070372E-03,  1.001006237414527E+00,  1.924688048504919E-04,
2459976.333333333, A.D. 2023-Jan-31 20:00:00.0000, -6.634399512890504E-01,  7.495820257250871E-01, -1.940100267686391E-03, -1.326746948658957E-02, -1.148544935992202E-02,  6.787698621884938E-05,  5.781376201511925E-03,  1.001014258762377E+00,  1.925559226477665E-04,
2459976.375000000, A.D. 2023-Jan-31 21:00:00.0000, -6.639925898923353E-01,  7.491032639767116E-01, -1.937270251434468E-03, -1.325918231115652E-02, -1.149511355811083E-02,  6.796378122590162E-05,  5.781422549930206E-03,  1.001022283742236E+00,  1.926431163382526E-04,
2459976.416666667, A.D. 2023-Jan-31 22:00:00.0000, -6.645448830517376E-01,  7.486240996788620E-01, -1.934436620591290E-03, -1.325088818124174E-02, -1.150477173400268E-02,  6.805048666996557E-05,  5.781468919335379E-03,  1.001030312355861E+00,  1.927303435486028E-04,
2459976.458333333, A.D. 2023-Jan-31 23:00:00.0000, -6.650968304775925E-01,  7.481445330825709E-01, -1.931599378891861E-03, -1.324258710136873E-02, -1.151442388244392E-02,  6.813710231453982E-05,  5.781515309735558E-03,  1.001038344604660E+00,  1.928176044941591E-04,
2459976.500000000, A.D. 2023-Feb-01 00:00:00.0000, -6.656484318804233E-01,  7.476645644390787E-01, -1.928758530077761E-03, -1.323427907658639E-02, -1.152406999873342E-02,  6.822362813573964E-05,  5.781561721138881E-03,  1.001046380490041E+00,  1.929048994012650E-04,
2459976.541666667, A.D. 2023-Feb-01 01:00:00.0000, -6.661996869710167E-01,  7.471841939998324E-01, -1.925914077896445E-03, -1.322596411221321E-02, -1.153371007696158E-02,  6.831006374535240E-05,  5.781608153553797E-03,  1.001054420013465E+00,  1.929922295813179E-04,
2459976.583333333, A.D. 2023-Feb-01 02:00:00.0000, -6.667505954601738E-01,  7.467034220165357E-01, -1.923066026114895E-03, -1.321764221142632E-02, -1.154334411336272E-02,  6.839640928538606E-05,  5.781654606988310E-03,  1.001062463176320E+00,  1.930795933166482E-04,
2459976.625000000, A.D. 2023-Feb-01 03:00:00.0000, -6.673011570590294E-01,  7.462222487410275E-01, -1.920214378488484E-03, -1.320931337842533E-02, -1.155297210236416E-02,  6.848266434114251E-05,  5.781701081450694E-03,  1.001070509980039E+00,  1.931669909216613E-04,
2459976.666666667, A.D. 2023-Feb-01 04:00:00.0000, -6.678513714788538E-01,  7.457406744253743E-01, -1.917359138786334E-03, -1.320097761851118E-02, -1.156259403897048E-02,  6.856882887867212E-05,  5.781747576949129E-03,  1.001078560426036E+00,  1.932544230121831E-04,
2459976.708333333, A.D. 2023-Feb-01 05:00:00.0000, -6.684012384311551E-01,  7.452586993218980E-01, -1.914500310781501E-03, -1.319263493790450E-02, -1.157220991700180E-02,  6.865490282173740E-05,  5.781794093492212E-03,  1.001086614515801E+00,  1.933418917019315E-04,
2459976.750000000, A.D. 2023-Feb-01 06:00:00.0000, -6.689507576276187E-01,  7.447763236831190E-01, -1.911637898251970E-03, -1.318428533908686E-02, -1.158181973293643E-02,  6.874088608476175E-05,  5.781840631088476E-03,  1.001094672250812E+00,  1.934293946300742E-04,
2459976.791666667, A.D. 2023-Feb-01 07:00:00.0000, -6.694999287800705E-01,  7.442935477617187E-01, -1.908771904989424E-03, -1.317592882596782E-02, -1.159142348194701E-02,  6.882677809994779E-05,  5.781887189746093E-03,  1.001102733632483E+00,  1.935169313608848E-04,
2459976.833333333, A.D. 2023-Feb-01 08:00:00.0000, -6.700487516005266E-01,  7.438103718105851E-01, -1.905902334793514E-03, -1.316756540389079E-02, -1.160102115911429E-02,  6.891257889276939E-05,  5.781933769473260E-03,  1.001110798662233E+00,  1.936045024846691E-04,
2459976.875000000, A.D. 2023-Feb-01 09:00:00.0000, -6.705972258012247E-01,  7.433267960828447E-01, -1.903029191472159E-03, -1.315919507859498E-02, -1.161061275829507E-02,  6.899828820967930E-05,  5.781980370278451E-03,  1.001118867341531E+00,  1.936921097682968E-04,
2459976.916666667, A.D. 2023-Feb-01 10:00:00.0000, -6.711453510945976E-01,  7.428428208318361E-01, -1.900152478839701E-03, -1.315081785320338E-02, -1.162019827519449E-02,  6.908390586200707E-05,  5.782026992170212E-03,  1.001126939671855E+00,  1.937797518536327E-04,
2459976.958333333, A.D. 2023-Feb-01 11:00:00.0000, -6.716931271932457E-01,  7.423584463110877E-01, -1.897272200717556E-03, -1.314243373269912E-02, -1.162977770488530E-02,  6.916943178244491E-05,  5.782073635156954E-03,  1.001135015654661E+00,  1.938674290976799E-04,
2459977.000000000, A.D. 2023-Feb-01 12:00:00.0000, -6.722405538099873E-01,  7.418736727743621E-01, -1.894388360933266E-03, -1.313404272285889E-02, -1.163935104090306E-02,  6.925486575473149E-05,  5.782120299247333E-03,  1.001143095291448E+00,  1.939551435309033E-04,
2459977.041666667, A.D. 2023-Feb-01 13:00:00.0000, -6.727876306578913E-01,  7.413885004756903E-01, -1.891500963316014E-03, -1.312564482898714E-02, -1.164891827803280E-02,  6.934020781067996E-05,  5.782166984450531E-03,  1.001151178583807E+00,  1.940428959406447E-04,
2459977.083333333, A.D. 2023-Feb-01 14:00:00.0000, -6.733343574501577E-01,  7.409029296692536E-01, -1.888610011707437E-03, -1.311724005264459E-02, -1.165847941263761E-02,  6.942545726035621E-05,  5.782213690775281E-03,  1.001159265533250E+00,  1.941306834311316E-04,
2459977.125000000, A.D. 2023-Feb-01 15:00:00.0000, -6.738807339001498E-01,  7.404169606094134E-01, -1.885715509961124E-03, -1.310882840005267E-02, -1.166803444028873E-02,  6.951061436391811E-05,  5.782260418230129E-03,  1.001167356141255E+00,  1.942185068237791E-04,
2459977.166666667, A.D. 2023-Feb-01 16:00:00.0000, -6.744267597214206E-01,  7.399305935507410E-01, -1.882817461939129E-03, -1.310040987492384E-02, -1.167758335576255E-02,  6.959567862323264E-05,  5.782307166823650E-03,  1.001175450409308E+00,  1.943063658435039E-04,
2459977.208333333, A.D. 2023-Feb-01 17:00:00.0000, -6.749724346277152E-01,  7.394438287480152E-01, -1.879915871511677E-03, -1.309198448220640E-02, -1.168712615406749E-02,  6.968064991708849E-05,  5.782353936564462E-03,  1.001183548338901E+00,  1.943942608741215E-04,
2459977.250000000, A.D. 2023-Feb-01 18:00:00.0000, -6.755177583329696E-01,  7.389566664562249E-01, -1.877010742557457E-03, -1.308355222576985E-02, -1.169666283004747E-02,  6.976552797714598E-05,  5.782400727461216E-03,  1.001191649931533E+00,  1.944821916941796E-04,
2459977.291666667, A.D. 2023-Feb-01 19:00:00.0000, -6.760627305513126E-01,  7.384691069305673E-01, -1.874102078963776E-03, -1.307511311120164E-02, -1.170619337891414E-02,  6.985031269389972E-05,  5.782447539522614E-03,  1.001199755188708E+00,  1.945701589689749E-04,
2459977.333333333, A.D. 2023-Feb-01 20:00:00.0000, -6.766073509970637E-01,  7.379811504264491E-01, -1.871189884626555E-03, -1.306666714212099E-02, -1.171571779529566E-02,  6.993500371353964E-05,  5.782494372757391E-03,  1.001207864111940E+00,  1.946581624668790E-04,
2459977.375000000, A.D. 2023-Feb-01 21:00:00.0000, -6.771516193847357E-01,  7.374927971994858E-01, -1.868274163450234E-03, -1.305821432400727E-02, -1.172523607453521E-02,  7.001960090365639E-05,  5.782541227174328E-03,  1.001215976702750E+00,  1.947462026844643E-04,
2459977.416666667, A.D. 2023-Feb-01 22:00:00.0000, -6.776955354290322E-01,  7.370040475055023E-01, -1.865354919348066E-03, -1.304975466088347E-02, -1.173474821139853E-02,  7.010410419736488E-05,  5.782588102782246E-03,  1.001224092962665E+00,  1.948342795601378E-04,
2459977.458333333, A.D. 2023-Feb-01 23:00:00.0000, -6.782390988448531E-01,  7.365149016005352E-01, -1.862432156242469E-03, -1.304128815795704E-02, -1.174425420072628E-02,  7.018851317927960E-05,  5.782634999590040E-03,  1.001232212893224E+00,  1.949223937785139E-04,
2459977.500000000, A.D. 2023-Feb-02 00:00:00.0000, -6.787823093473071E-01,  7.360253597408464E-01, -1.859505878065075E-03, -1.303281482013978E-02, -1.175375403737032E-02,  7.027282771965712E-05,  5.782681917606772E-03,  1.001240336495997E+00,  1.950105458160845E-04,
2459977.541666667, A.D. 2023-Feb-02 01:00:00.0000, -6.793251666517389E-01,  7.355354221828811E-01, -1.856576088741341E-03, -1.302433465136107E-02, -1.176324771649604E-02,  7.035704770227012E-05,  5.782728856841618E-03,  1.001248463772572E+00,  1.950987352536705E-04,
2459977.583333333, A.D. 2023-Feb-02 02:00:00.0000, -6.798676704735205E-01,  7.350450891832968E-01, -1.853642792307386E-03, -1.301584765732791E-02, -1.177273523718401E-02,  7.044116589553429E-05,  5.782775817303161E-03,  1.001256594724436E+00,  1.951869600148212E-04,
2459977.625000000, A.D. 2023-Feb-02 03:00:00.0000, -6.804098205284537E-01,  7.345543609987135E-01, -1.850705993121214E-03, -1.300735384123559E-02, -1.178221659158651E-02,  7.052518708324040E-05,  5.782822798999921E-03,  1.001264729353064E+00,  1.952752213931104E-04,
2459977.666666667, A.D. 2023-Feb-02 04:00:00.0000, -6.809516165322902E-01,  7.340632378863922E-01, -1.847765694781370E-03, -1.299885320648120E-02, -1.179169176962970E-02,  7.060912164587381E-05,  5.782869801941325E-03,  1.001272867660088E+00,  1.953635224242418E-04,
2459977.708333333, A.D. 2023-Feb-02 05:00:00.0000, -6.814930582010551E-01,  7.335717201036724E-01, -1.844821901165495E-03, -1.299034575871519E-02, -1.180116076989349E-02,  7.069296045706988E-05,  5.782916826136621E-03,  1.001281009647109E+00,  1.954518613635109E-04,
2459977.750000000, A.D. 2023-Feb-02 06:00:00.0000, -6.820341452509954E-01,  7.330798079080558E-01, -1.841874616261002E-03, -1.298183150315834E-02, -1.181062358762923E-02,  7.077670344398746E-05,  5.782963871595011E-03,  1.001289155315721E+00,  1.955402386039251E-04,
2459977.791666667, A.D. 2023-Feb-02 07:00:00.0000, -6.825748773985889E-01,  7.325875015572901E-01, -1.838923844063871E-03, -1.297331044710045E-02, -1.182008021596821E-02,  7.086035052565741E-05,  5.783010938326047E-03,  1.001297304667577E+00,  1.956286575018446E-04,
2459977.833333333, A.D. 2023-Feb-02 08:00:00.0000, -6.831152543605356E-01,  7.320948013093603E-01, -1.835969588578546E-03, -1.296478259319512E-02, -1.182953065106274E-02,  7.094390136877037E-05,  5.783058026339566E-03,  1.001305457704382E+00,  1.957171160443336E-04,
2459977.875000000, A.D. 2023-Feb-02 09:00:00.0000, -6.836552758536740E-01,  7.316017074224096E-01, -1.833011853820729E-03, -1.295624794471689E-02, -1.183897488794693E-02,  7.102735545913131E-05,  5.783105135645019E-03,  1.001313614427770E+00,  1.958056134576413E-04,
2459977.916666667, A.D. 2023-Feb-02 10:00:00.0000, -6.841949415950388E-01,  7.311082201547927E-01, -1.830050643816030E-03, -1.294770650859402E-02, -1.184841292208377E-02,  7.111071318305848E-05,  5.783152266251925E-03,  1.001321774839390E+00,  1.958941511468666E-04,
2459977.958333333, A.D. 2023-Feb-02 11:00:00.0000, -6.847342513018282E-01,  7.306143397650487E-01, -1.827085962600671E-03, -1.293915828620579E-02, -1.185784474942532E-02,  7.119397371694195E-05,  5.783199418169627E-03,  1.001329938940861E+00,  1.959827263735938E-04,
2459978.000000000, A.D. 2023-Feb-02 12:00:00.0000, -6.852732046914245E-01,  7.301200665119156E-01, -1.824117814221181E-03, -1.293060328411491E-02, -1.186727036387695E-02,  7.127713705117079E-05,  5.783246591407443E-03,  1.001338106733794E+00,  1.960713414324456E-04,
2459978.041666667, A.D. 2023-Feb-02 13:00:00.0000, -6.858118014814624E-01,  7.296254006543972E-01, -1.821146202733404E-03, -1.292204150817230E-02, -1.187668975910439E-02,  7.136020289840455E-05,  5.783293785975197E-03,  1.001346278219892E+00,  1.961599983074962E-04,
2459978.083333333, A.D. 2023-Feb-02 14:00:00.0000, -6.863500413897816E-01,  7.291303424517180E-01, -1.818171132203142E-03, -1.291347296244423E-02, -1.188610293064843E-02,  7.144317104188380E-05,  5.783341001882869E-03,  1.001354453400883E+00,  1.962486963939323E-04,
2459978.125000000, A.D. 2023-Feb-02 15:00:00.0000, -6.868879241343935E-01,  7.286348921632931E-01, -1.815192606706560E-03, -1.290489765099978E-02, -1.189550987403620E-02,  7.152604123882895E-05,  5.783388239140316E-03,  1.001362632278471E+00,  1.963374350985133E-04,
2459978.166666667, A.D. 2023-Feb-02 16:00:00.0000, -6.874254494334909E-01,  7.281390500487354E-01, -1.812210630330577E-03, -1.289631557880545E-02, -1.190491058425962E-02,  7.160881326602340E-05,  5.783435497757345E-03,  1.001370814854358E+00,  1.964262148328260E-04,
2459978.208333333, A.D. 2023-Feb-02 17:00:00.0000, -6.879626170054715E-01,  7.276428163678794E-01, -1.809225207171677E-03, -1.288772675036130E-02, -1.191430505543660E-02,  7.169148681024598E-05,  5.783482777743910E-03,  1.001379001130265E+00,  1.965150363237485E-04,
2459978.250000000, A.D. 2023-Feb-02 18:00:00.0000, -6.884994265689420E-01,  7.271461913807844E-01, -1.806236341334462E-03, -1.287913117023088E-02, -1.192369328288109E-02,  7.177406158090664E-05,  5.783530079110148E-03,  1.001387191107947E+00,  1.966038994709928E-04,
2459978.291666667, A.D. 2023-Feb-02 19:00:00.0000, -6.890358778426758E-01,  7.266491753476945E-01, -1.803244036936132E-03, -1.287052884402776E-02, -1.193307526235205E-02,  7.185653768319878E-05,  5.783577401866019E-03,  1.001395384789129E+00,  1.966928045733359E-04,
2459978.333333333, A.D. 2023-Feb-02 20:00:00.0000, -6.895719705456387E-01,  7.261517685290619E-01, -1.800248298106540E-03, -1.286191977443321E-02, -1.194245098821736E-02,  7.193891435547262E-05,  5.783624746021537E-03,  1.001403582175545E+00,  1.967817509239380E-04,
2459978.375000000, A.D. 2023-Feb-02 21:00:00.0000, -6.901077043969918E-01,  7.256539711855500E-01, -1.797249128985449E-03, -1.285330396702264E-02, -1.195182045560349E-02,  7.202119153122721E-05,  5.783672111586769E-03,  1.001411783268939E+00,  1.968707392538160E-04,
2459978.416666667, A.D. 2023-Feb-02 22:00:00.0000, -6.906430791160900E-01,  7.251557835780317E-01, -1.794246533723976E-03, -1.284468142684011E-02, -1.196118365956947E-02,  7.210336890259990E-05,  5.783719498571838E-03,  1.001419988071062E+00,  1.969597699786908E-04,
2459978.458333333, A.D. 2023-Feb-02 23:00:00.0000, -6.911780944224819E-01,  7.246572059675922E-01, -1.791240516483550E-03, -1.283605215842756E-02, -1.197054059518303E-02,  7.218544650532954E-05,  5.783766906986925E-03,  1.001428196583678E+00,  1.970488431614703E-04,
2459978.500000000, A.D. 2023-Feb-03 00:00:00.0000, -6.917127500359136E-01,  7.241582386155293E-01, -1.788231081437252E-03, -1.282741616560791E-02, -1.197989125647951E-02,  7.226742357946526E-05,  5.783814336842293E-03,  1.001436408808564E+00,  1.971379591160036E-04,
2459978.541666667, A.D. 2023-Feb-03 01:00:00.0000, -6.922470456764017E-01,  7.236588817833574E-01, -1.785218232748153E-03, -1.281877345477934E-02, -1.198923563894529E-02,  7.234930047789686E-05,  5.783861788148582E-03,  1.001444624747561E+00,  1.972271188825870E-04,
2459978.583333333, A.D. 2023-Feb-03 02:00:00.0000, -6.927809810643066E-01,  7.231591357326095E-01, -1.782201974433000E-03, -1.281012405448946E-02, -1.199857376438158E-02,  7.243107902565004E-05,  5.783909260916295E-03,  1.001452844402489E+00,  1.973163198277012E-04,
2459978.625000000, A.D. 2023-Feb-03 03:00:00.0000, -6.933145559202435E-01,  7.226590007230982E-01, -1.779182312330323E-03, -1.280146791233215E-02, -1.200790564274494E-02,  7.251268925842894E-05,  5.783956755148199E-03,  1.001461067773826E+00,  1.974055120762776E-04,
2459978.666666667, A.D. 2023-Feb-03 04:00:00.0000, -6.938477699638870E-01,  7.221584770164370E-01, -1.776159251916875E-03, -1.279280506539882E-02, -1.201723122658320E-02,  7.259419793072185E-05,  5.784004270849227E-03,  1.001469294862427E+00,  1.974947487899529E-04,
2459978.708333333, A.D. 2023-Feb-03 05:00:00.0000, -6.943806229159991E-01,  7.216575648750243E-01, -1.773132797421865E-03, -1.278413551971746E-02, -1.202655050950985E-02,  7.267560498048145E-05,  5.784051808030323E-03,  1.001477525670186E+00,  1.975840321063774E-04,
2459978.750000000, A.D. 2023-Feb-03 06:00:00.0000, -6.949131144975675E-01,  7.211562645614982E-01, -1.770102953084815E-03, -1.277545927970518E-02, -1.203586348776971E-02,  7.275691016797717E-05,  5.784099366702724E-03,  1.001485760199049E+00,  1.976733611506915E-04,
2459978.791666667, A.D. 2023-Feb-03 07:00:00.0000, -6.954452444296925E-01,  7.206545763386289E-01, -1.767069723156401E-03, -1.276677634711963E-02, -1.204517015728681E-02,  7.283811322526331E-05,  5.784146946877071E-03,  1.001493998450859E+00,  1.977627334336381E-04,
2459978.833333333, A.D. 2023-Feb-03 08:00:00.0000, -6.959770124336538E-01,  7.201525004693839E-01, -1.764033111899303E-03, -1.275808672859072E-02, -1.205447051283169E-02,  7.291921384400270E-05,  5.784194548563953E-03,  1.001502240427449E+00,  1.978521506767027E-04,
2459978.875000000, A.D. 2023-Feb-03 09:00:00.0000, -6.965084182309411E-01,  7.196500372169644E-01, -1.760993123587903E-03, -1.274939042740770E-02, -1.206376454869369E-02,  7.300021162652103E-05,  5.784242171774165E-03,  1.001510486130688E+00,  1.979416126270739E-04,
2459978.916666667, A.D. 2023-Feb-03 10:00:00.0000, -6.970394615432466E-01,  7.191471868447843E-01, -1.757949762506745E-03, -1.274068744998296E-02, -1.207305226045164E-02,  7.308110659436186E-05,  5.784289816518602E-03,  1.001518735562463E+00,  1.980311202742436E-04,
2459978.958333333, A.D. 2023-Feb-03 11:00:00.0000, -6.975701420924671E-01,  7.186439496164768E-01, -1.754903032950980E-03, -1.273197780040398E-02, -1.208233364207596E-02,  7.316189828053997E-05,  5.784337482808293E-03,  1.001526988724682E+00,  1.981206741477012E-04,
2459979.000000000, A.D. 2023-Feb-03 12:00:00.0000, -6.981004596006897E-01,  7.181403257958806E-01, -1.751852939227016E-03, -1.272326148301676E-02, -1.209160868969766E-02,  7.324258654660121E-05,  5.784385170654280E-03,  1.001535245619258E+00,  1.982102734035165E-04,
2459979.041666667, A.D. 2023-Feb-03 13:00:00.0000, -6.986304137901749E-01,  7.176363156470263E-01, -1.748799485652017E-03, -1.271453850185319E-02, -1.210087739773610E-02,  7.332317087653619E-05,  5.784432880067505E-03,  1.001543506248086E+00,  1.982999182068363E-04,
2459979.083333333, A.D. 2023-Feb-03 14:00:00.0000, -6.991600043833758E-01,  7.171319194341583E-01, -1.745742676554654E-03, -1.270580886221543E-02, -1.211013976142013E-02,  7.340365139343777E-05,  5.784480611058962E-03,  1.001551770613070E+00,  1.983896090256620E-04,
2459979.125000000, A.D. 2023-Feb-03 15:00:00.0000, -6.996892311029457E-01,  7.166271374217403E-01, -1.742682516276196E-03, -1.269707256819658E-02, -1.211939577542154E-02,  7.348402747696030E-05,  5.784528363639773E-03,  1.001560038716133E+00,  1.984793458844535E-04,
2459979.166666667, A.D. 2023-Feb-03 16:00:00.0000, -7.002180936717306E-01,  7.161219698744385E-01, -1.739619009167027E-03, -1.268832962509968E-02, -1.212864543474408E-02,  7.356429892108590E-05,  5.784576137821057E-03,  1.001568310559203E+00,  1.985691294131058E-04,
2459979.208333333, A.D. 2023-Feb-03 17:00:00.0000, -7.007465918127952E-01,  7.156164170571532E-01, -1.736552159589883E-03, -1.267958003899798E-02, -1.213788873354516E-02,  7.364446574101580E-05,  5.784623933614195E-03,  1.001576586144249E+00,  1.986589613854359E-04,
2459979.250000000, A.D. 2023-Feb-03 18:00:00.0000, -7.012747252494488E-01,  7.151104792350436E-01, -1.733481971920101E-03, -1.267082381398574E-02, -1.214712566596655E-02,  7.372452728592338E-05,  5.784671751031022E-03,  1.001584865473321E+00,  1.987488422025758E-04,
2459979.291666667, A.D. 2023-Feb-03 19:00:00.0000, -7.018024937062854E-01,  7.146041566735422E-01, -1.730408449521894E-03, -1.266206101647581E-02, -1.215635621840716E-02,  7.380454647308278E-05,  5.784719590088084E-03,  1.001593148549284E+00,  1.988388213552340E-04,
2459979.333333333, A.D. 2023-Feb-03 20:00:00.0000, -7.023298969087881E-01,  7.140974496387511E-01, -1.727331594482400E-03, -1.265329159847710E-02, -1.216558038814649E-02,  7.388447983382210E-05,  5.784767450806689E-03,  1.001601435375826E+00,  1.989288606535594E-04,
2459979.375000000, A.D. 2023-Feb-03 21:00:00.0000, -7.028569345808144E-01,  7.135903583964466E-01, -1.724251411086612E-03, -1.264451555464489E-02, -1.217479817834291E-02,  7.396430738878452E-05,  5.784815333198649E-03,  1.001609725954993E+00,  1.990189474823298E-04,
2459979.416666667, A.D. 2023-Feb-03 22:00:00.0000, -7.033836064463741E-01,  7.130828832125538E-01, -1.721167903751850E-03, -1.263573288886232E-02, -1.218400958360170E-02,  7.404402867458995E-05,  5.784863237275405E-03,  1.001618020288767E+00,  1.991090817573716E-04,
2459979.458333333, A.D. 2023-Feb-03 23:00:00.0000, -7.039099122294946E-01,  7.125750243535114E-01, -1.718081076689793E-03, -1.262694360191939E-02, -1.219321459111662E-02,  7.412365894597195E-05,  5.784911163048984E-03,  1.001626318379229E+00,  1.991992664573988E-04,
2459979.500000000, A.D. 2023-Feb-04 00:00:00.0000, -7.044358516548115E-01,  7.120667820851329E-01, -1.714990933896422E-03, -1.261814770118056E-02, -1.220241320959825E-02,  7.420318281487197E-05,  5.784959110529697E-03,  1.001634620228164E+00,  1.992894939317517E-04,
2459979.541666667, A.D. 2023-Feb-04 01:00:00.0000, -7.049614244458505E-01,  7.115581566753718E-01, -1.711897479516677E-03, -1.260934516504294E-02, -1.221160539079357E-02,  7.428261010633019E-05,  5.785007079730537E-03,  1.001642925837824E+00,  1.993797765585025E-04,
2459979.583333333, A.D. 2023-Feb-04 02:00:00.0000, -7.054866303269129E-01,  7.110491483914970E-01, -1.708800717910905E-03, -1.260053602598614E-02, -1.222079116718048E-02,  7.436192997552395E-05,  5.785055070663220E-03,  1.001651235210235E+00,  1.994701074077551E-04,
2459979.625000000, A.D. 2023-Feb-04 03:00:00.0000, -7.060114690230377E-01,  7.105397575004603E-01, -1.705700653547425E-03, -1.259172028862021E-02, -1.222997053370111E-02,  7.444114223695397E-05,  5.785103083339549E-03,  1.001659548347441E+00,  1.995604866613645E-04,
2459979.666666667, A.D. 2023-Feb-04 04:00:00.0000, -7.065359402594058E-01,  7.100299842694415E-01, -1.702597290911740E-03, -1.258289795797652E-02, -1.223914348540867E-02,  7.452024668027140E-05,  5.785151117771238E-03,  1.001667865251472E+00,  1.996509147177453E-04,
2459979.708333333, A.D. 2023-Feb-04 05:00:00.0000, -7.070600437616341E-01,  7.095198289655369E-01, -1.699490634942470E-03, -1.257406904692274E-02, -1.224831003241413E-02,  7.459920668784995E-05,  5.785199173969842E-03,  1.001676185924327E+00,  1.997413869092785E-04,
2459979.750000000, A.D. 2023-Feb-04 06:00:00.0000, -7.075837792549897E-01,  7.090092918560474E-01, -1.696380692130926E-03, -1.256523353725806E-02, -1.225747015183437E-02,  7.467803030154165E-05,  5.785247251944742E-03,  1.001684510367631E+00,  1.998318999399097E-04,
2459979.791666667, A.D. 2023-Feb-04 07:00:00.0000, -7.081071464650142E-01,  7.084983732088534E-01, -1.693267467260339E-03, -1.255639144742840E-02, -1.226662384126997E-02,  7.475674517075244E-05,  5.785295351707191E-03,  1.001692838583332E+00,  1.999224618099405E-04,
2459979.833333333, A.D. 2023-Feb-04 08:00:00.0000, -7.086301451176498E-01,  7.079870732919722E-01, -1.690150964859541E-03, -1.254754278335112E-02, -1.227577109604506E-02,  7.483535153567914E-05,  5.785343473269023E-03,  1.001701170573479E+00,  2.000130733486020E-04,
2459979.875000000, A.D. 2023-Feb-04 09:00:00.0000, -7.091527749390333E-01,  7.074753923736328E-01, -1.687031189463491E-03, -1.253868754849401E-02, -1.228491191061267E-02,  7.491384886831565E-05,  5.785391616642135E-03,  1.001709506340132E+00,  2.001037342698376E-04,
2459979.916666667, A.D. 2023-Feb-04 10:00:00.0000, -7.096750356554938E-01,  7.069633307222767E-01, -1.683908145618800E-03, -1.252982574752215E-02, -1.229404627967095E-02,  7.499223670003265E-05,  5.785439781838471E-03,  1.001717845885359E+00,  2.001944449581418E-04,
